Hero,T_Picked,T_Wins,T_Loses,T_WinRate,T_PickPercentage,BS_Picked,BS_Wins,BS_Loses,BS_WinRate,RS_Picked,RS_Wins,RS_Loses,RS_WinRate,T_Banned,T_BansPercentage,T_PicksBans,T_PicksBansPercentage,Roles
 Valentina,727,334,393,45.94,52.0,348,157,191,45.11,379,177,202,46.7,484,34.62,1211,86.62,Mage
 Fredrinn,726,383,343,52.75,51.93,361,184,177,50.97,365,199,166,54.52,475,33.98,1201,85.91,Support
 Terizla,620,348,272,56.13,44.35,291,168,123,57.73,329,180,149,54.71,435,31.12,1055,75.46,Fighter
 Edith,527,265,262,50.28,37.7,258,125,133,48.45,269,140,129,52.04,477,34.12,1004,71.82,Tank
 Irithel,502,255,247,50.8,35.91,245,129,116,52.65,257,126,131,49.03,208,14.88,710,50.79,Marksman
 Martis,479,215,264,44.89,34.26,249,121,128,48.59,230,94,136,40.87,299,21.39,778,55.65,Fighter
 Beatrix,460,249,211,54.13,32.9,224,118,106,52.68,236,131,105,55.51,166,11.87,626,44.78,Marksman
 Bruno,433,233,200,53.81,30.97,198,99,99,50.0,235,134,101,57.02,299,21.39,732,52.36,Marksman
 Paquito,431,221,210,51.28,30.83,206,110,96,53.4,225,111,114,49.33,429,30.69,860,61.52,Fighter
 Baxia,423,225,198,53.19,30.26,209,112,97,53.59,214,113,101,52.8,491,35.12,914,65.38,Tank
 Novaria,407,219,188,53.81,29.11,212,109,103,51.42,195,110,85,56.41,415,29.69,822,58.8,Mage
 Claude,379,189,190,49.87,27.11,197,102,95,51.78,182,87,95,47.8,342,24.46,721,51.57,Marksman
 Khufra,336,155,181,46.13,24.03,186,84,102,45.16,150,71,79,47.33,247,17.67,583,41.7,Tank
 Brody,328,152,176,46.34,23.46,170,75,95,44.12,158,77,81,48.73,204,14.59,532,38.05,Marksman
 Grock,323,142,181,43.96,23.1,155,65,90,41.94,168,77,91,45.83,183,13.09,506,36.19,Tank
 Yu Zhong,306,153,153,50.0,21.89,175,85,90,48.57,131,68,63,51.91,237,16.95,543,38.84,Fighter
 X.Borg,300,146,154,48.67,21.46,137,68,69,49.64,163,78,85,47.85,265,18.96,565,40.41,Fighter
 Kaja,296,152,144,51.35,21.17,132,63,69,47.73,164,89,75,54.27,630,45.06,926,66.24,Support
 Lancelot,281,131,150,46.62,20.1,135,61,74,45.19,146,70,76,47.95,348,24.89,629,44.99,Assassin
 Faramis,257,145,112,56.42,18.38,124,71,53,57.26,133,74,59,55.64,226,16.17,483,34.55,Support / Mage
 Kadita,254,142,112,55.91,18.17,125,70,55,56.0,129,72,57,55.81,678,48.5,932,66.67,Mage
 Angela,253,122,131,48.22,18.1,152,76,76,50.0,101,46,55,45.54,741,53.0,994,71.1,Support
 Pharsa,252,111,141,44.05,18.03,113,46,67,40.71,139,65,74,46.76,92,6.58,344,24.61,Mage
 Chou,246,123,123,50.0,17.6,121,58,63,47.93,125,65,60,52.0,156,11.16,402,28.76,Fighter / Tank
 Yve,236,130,106,55.08,16.88,128,73,55,57.03,108,57,51,52.78,456,32.62,692,49.5,Mage
 Franco,230,126,104,54.78,16.45,127,68,59,53.54,103,58,45,56.31,350,25.04,580,41.49,Tank
 Joy,201,113,88,56.22,14.38,101,60,41,59.41,100,53,47,53.0,623,44.56,824,58.94,Mage
 Akai,196,89,107,45.41,14.02,91,36,55,39.56,105,53,52,50.48,134,9.59,330,23.61,Tank
 Uranus,196,86,110,43.88,14.02,117,44,73,37.61,79,42,37,53.16,260,18.6,456,32.62,Tank
 Minotaur,190,92,98,48.42,13.59,91,50,41,54.95,99,42,57,42.42,117,8.37,307,21.96,Tank
 Karrie,174,69,105,39.66,12.45,103,39,64,37.86,71,30,41,42.25,73,5.22,247,17.67,Marksman
 Lapu-Lapu,171,78,93,45.61,12.23,85,35,50,41.18,86,43,43,50.0,36,2.58,207,14.81,Fighter
 Lylia,170,87,83,51.18,12.16,102,54,48,52.94,68,33,35,48.53,101,7.22,271,19.38,Mage
 Gord,169,89,80,52.66,12.09,78,40,38,51.28,91,49,42,53.85,82,5.87,251,17.95,Mage
 Rafaela,142,58,84,40.85,10.16,67,30,37,44.78,75,28,47,37.33,101,7.22,243,17.38,Support
 Mathilda,141,86,55,60.99,10.09,90,54,36,60.0,51,32,19,62.75,387,27.68,528,37.77,Support / Assassin
 Arlott,127,56,71,44.09,9.08,62,31,31,50.0,65,25,40,38.46,74,5.29,201,14.38,Mage
 Ixia,124,69,55,55.65,8.87,61,35,26,57.38,63,34,29,53.97,129,9.23,253,18.1,Mage
 Fanny,103,53,50,51.46,7.37,61,24,37,39.34,42,29,13,69.05,697,49.86,800,57.22,Assassin
 Lesley,90,42,48,46.67,6.44,37,18,19,48.65,53,24,29,45.28,114,8.15,204,14.59,Marksman / Assassin
 Valir,87,38,49,43.68,6.22,47,26,21,55.32,40,12,28,30.0,129,9.23,216,15.45,Mage
 Gloo,83,42,41,50.6,5.94,40,19,21,47.5,43,23,20,53.49,52,3.72,135,9.66,Tank
 Clint,80,38,42,47.5,5.72,49,27,22,55.1,31,11,20,35.48,22,1.57,102,7.3,Marksman
 Ling,78,43,35,55.13,5.58,31,17,14,54.84,47,26,21,55.32,208,14.88,286,20.46,Assassin
 Khaleed,74,47,27,63.51,5.29,37,25,12,67.57,37,22,15,59.46,83,5.94,157,11.23,Fighter
 Hayabusa,74,36,38,48.65,5.29,46,22,24,47.83,28,14,14,50.0,51,3.65,125,8.94,Assassin
 Wanwan,73,39,34,53.42,5.22,35,19,16,54.29,38,20,18,52.63,103,7.37,176,12.59,Marksman
 Floryn,72,34,38,47.22,5.15,31,14,17,45.16,41,20,21,48.78,72,5.15,144,10.3,Support
 Esmeralda,72,31,41,43.06,5.15,37,16,21,43.24,35,15,20,42.86,24,1.72,96,6.87,Mage / Tank
 Diggie,70,36,34,51.43,5.01,27,11,16,40.74,43,25,18,58.14,218,15.59,288,20.6,Support
 Benedetta,69,33,36,47.83,4.94,35,14,21,40.0,34,19,15,55.88,37,2.65,106,7.58,Assassin
 Harith,64,26,38,40.63,4.58,28,12,16,42.86,36,14,22,38.89,79,5.65,143,10.23,Mage
 Ruby,62,35,27,56.45,4.43,32,18,14,56.25,30,17,13,56.67,16,1.14,78,5.58,Fighter
 Dyrroth,59,42,17,71.19,4.22,32,19,13,59.38,27,23,4,85.19,30,2.15,89,6.37,Fighter
 Alpha,59,31,28,52.54,4.22,25,12,13,48.0,34,19,15,55.88,31,2.22,90,6.44,Fighter
 Melissa,58,25,33,43.1,4.15,35,14,21,40.0,23,11,12,47.83,44,3.15,102,7.3,Mage
 Lolita,47,28,19,59.57,3.36,15,11,4,73.33,32,17,15,53.13,14,1.0,61,4.36,Tank
 Bane,43,15,28,34.88,3.08,22,7,15,31.82,21,8,13,38.1,7,0.5,50,3.58,Fighter
 Helcurt,42,20,22,47.62,3.0,15,8,7,53.33,27,12,15,44.44,79,5.65,121,8.66,Assassin
 Lunox,42,20,22,47.62,3.0,20,7,13,35.0,22,13,9,59.09,14,1.0,56,4.01,Mage
 Hilda,37,25,12,67.57,2.65,16,12,4,75.0,21,13,8,61.9,53,3.79,90,6.44,Fighter / Tank
 Cecilion,31,13,18,41.94,2.22,14,5,9,35.71,17,8,9,47.06,3,0.21,34,2.43,Mage
 Guinevere,29,13,16,44.83,2.07,15,6,9,40.0,14,7,7,50.0,10,0.72,39,2.79,Fighter / Mage
 Estes,24,10,14,41.67,1.72,13,6,7,46.15,11,4,7,36.36,23,1.65,47,3.36,Support
 Atlas,22,12,10,54.55,1.57,8,5,3,62.5,14,7,7,50.0,17,1.22,39,2.79,Tank
 Barats,21,7,14,33.33,1.5,11,5,6,45.45,10,2,8,20.0,9,0.64,30,2.15,Fighter / Tank
 Xavier,20,6,14,30.0,1.43,12,2,10,16.67,8,4,4,50.0,5,0.36,25,1.79,Mage
 Leomord,17,5,12,29.41,1.22,11,4,7,36.36,6,1,5,16.67,3,0.21,20,1.43,Fighter
 Hylos,14,6,8,42.86,1.0,7,4,3,57.14,7,2,5,28.57,13,0.93,27,1.93,Tank
 Phoveus,13,7,6,53.85,0.93,5,1,4,20.0,8,6,2,75.0,9,0.64,22,1.57,Fighter
 Badang,13,4,9,30.77,0.93,8,3,5,37.5,5,1,4,20.0,15,1.07,28,2.0,Fighter
 Kagura,13,3,10,23.08,0.93,4,1,3,25.0,9,2,7,22.22,0,0.0,13,0.93,Mage
 Gusion,12,7,5,58.33,0.86,6,4,2,66.67,6,3,3,50.0,4,0.29,16,1.14,Assassin / Mage
 Nolan,12,7,5,58.33,0.86,10,5,5,50.0,2,2,0,100.0,71,5.08,83,5.94,Mage
 Hanzo,12,5,7,41.67,0.86,5,1,4,20.0,7,4,3,57.14,24,1.72,36,2.58,Assassin
 Minsitthar,12,4,8,33.33,0.86,6,1,5,16.67,6,3,3,50.0,8,0.57,20,1.43,Fighter / Support
 Karina,10,2,8,20.0,0.72,2,1,1,50.0,8,1,7,12.5,1,0.07,11,0.79,Assassin / Mage
 Luo Yi,9,3,6,33.33,0.64,5,2,3,40.0,4,1,3,25.0,13,0.93,22,1.57,Mage
 Natalia,9,3,6,33.33,0.64,6,1,5,16.67,3,2,1,66.67,30,2.15,39,2.79,Assassin
 Thamuz,9,2,7,22.22,0.64,4,1,3,25.0,5,1,4,20.0,1,0.07,10,0.72,Fighter
 Balmond,8,4,4,50.0,0.57,3,1,2,33.33,5,3,2,60.0,0,0.0,8,0.57,Fighter / Tank
 Alice,8,3,5,37.5,0.57,5,2,3,40.0,3,1,2,33.33,15,1.07,23,1.65,Mage
 Popol and Kupa,8,3,5,37.5,0.57,1,0,1,0.0,7,3,4,42.86,2,0.14,10,0.72,Marksman / Support
 Masha,7,3,4,42.86,0.5,3,0,3,0.0,4,3,1,75.0,8,0.57,15,1.07,Fighter / Tank
 Jawhead,7,1,6,14.29,0.5,5,1,4,20.0,2,0,2,0.0,5,0.36,12,0.86,Fighter / Tank
 Harley,6,3,3,50.0,0.43,3,2,1,66.67,3,1,2,33.33,7,0.5,13,0.93,Mage
 Yin,6,1,5,16.67,0.43,4,1,3,25.0,2,0,2,0.0,15,1.07,21,1.5,Mage
 Cyclops,5,4,1,80.0,0.36,3,2,1,66.67,2,2,0,100.0,0,0.0,5,0.36,Mage
 Granger,5,4,1,80.0,0.36,4,3,1,75.0,1,1,0,100.0,1,0.07,6,0.43,Marksman
 Julian,5,3,2,60.0,0.36,2,2,0,100.0,3,1,2,33.33,0,0.0,5,0.36,Mage
 Chang'e,5,1,4,20.0,0.36,1,0,1,0.0,4,1,3,25.0,0,0.0,5,0.36,Mage
 Roger,5,0,5,0.0,0.36,2,0,2,0.0,3,0,3,0.0,0,0.0,5,0.36,Marksman / Fighter
 Aamon,4,3,1,75.0,0.29,2,2,0,100.0,2,1,1,50.0,0,0.0,4,0.29,Assassin
 Yi Sun-Shin,4,3,1,75.0,0.29,2,2,0,100.0,2,1,1,50.0,9,0.64,13,0.93,Marksman / Assassin
 Carmilla,4,1,3,25.0,0.29,2,1,1,50.0,2,0,2,0.0,1,0.07,5,0.36,Support
 Natan,4,1,3,25.0,0.29,1,0,1,0.0,3,1,2,33.33,1,0.07,5,0.36,Marksman
 Selena,4,1,3,25.0,0.29,3,0,3,0.0,1,1,0,100.0,1,0.07,5,0.36,Mage / Assassin
 Belerick,4,0,4,0.0,0.29,1,0,1,0.0,3,0,3,0.0,2,0.14,6,0.43,Tank
 Nana,3,2,1,66.67,0.21,1,0,1,0.0,2,2,0,100.0,0,0.0,3,0.21,Mage / Support
 Hanabi,3,1,2,33.33,0.21,2,0,2,0.0,1,1,0,100.0,4,0.29,7,0.5,Marksman
 Freya,2,2,0,100.0,0.14,1,1,0,100.0,1,1,0,100.0,9,0.64,11,0.79,Fighter
 Aldous,2,1,1,50.0,0.14,0,0,0,43.52740384615385,2,1,1,50.0,0,0.0,2,0.14,Fighter
 Aulus,2,1,1,50.0,0.14,1,0,1,0.0,1,1,0,100.0,0,0.0,2,0.14,Fighter
 Tigreal,2,0,2,0.0,0.14,0,0,0,43.52740384615385,2,0,2,0.0,0,0.0,2,0.14,Tank
 Kimmy,1,1,0,100.0,0.07,0,0,0,43.52740384615385,1,1,0,100.0,0,0.0,1,0.07,Marksman / Mage
 Moskov,1,1,0,100.0,0.07,0,0,0,43.52740384615385,1,1,0,100.0,1,0.07,2,0.14,Marksman
 Saber,1,1,0,100.0,0.07,0,0,0,43.52740384615385,1,1,0,100.0,0,0.0,1,0.07,Assassin
 Alucard,1,0,1,0.0,0.07,0,0,0,43.52740384615385,1,0,1,0.0,0,0.0,1,0.07,Fighter
 Silvanna,1,0,1,0.0,0.07,0,0,0,43.52740384615385,1,0,1,0.0,0,0.0,1,0.07,Fighter / Mage
 Sun,1,0,1,0.0,0.07,1,0,1,0.0,0,0,0,48.58117117117117,0,0.0,1,0.07,Fighter
 Vale,1,0,1,0.0,0.07,1,0,1,0.0,0,0,0,48.58117117117117,1,0.07,2,0.14,Mage
 Vexana,1,0,1,0.0,0.07,0,0,0,43.52740384615385,1,0,1,0.0,0,0.0,1,0.07,Mage
 Zilong,1,0,1,0.0,0.07,0,0,0,43.52740384615385,1,0,1,0.0,1,0.07,2,0.14,Fighter
 Layla,0,0,0,45.230176991150444,0.0,0,0,0,43.52740384615385,0,0,0,48.58117117117117,1,0.07,1,0.07,Marksman
 Miya,0,0,0,45.230176991150444,0.0,0,0,0,43.52740384615385,0,0,0,48.58117117117117,4,0.29,4,0.29,Marksman
